                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.42635,                0.42582,                0.84612,                 0.8357,                0.90159,                0.92053,                0.86407,                0.38821,                0.48829,                0.83154,             0.00092435,             0.00092435,             0.00092435
                     48,                0.42145,                0.44952,                0.83725,                0.89636,                0.87717,                0.93785,                0.87595,                0.38017,                0.47918,                 0.8352,             0.00090785,             0.00090785,             0.00090785
                     49,                0.43835,                0.41834,                0.85266,                 0.8961,                0.88707,                0.94282,                0.88202,                 0.3766,                0.45727,                0.83488,             0.00089134,             0.00089134,             0.00089134
                     50,                0.42574,                0.41415,                0.84712,                0.84556,                0.84495,                0.92439,                0.86672,                0.37654,                0.52964,                0.82503,             0.00087484,             0.00087484,             0.00087484
                     51,                0.43623,                0.40703,                0.84591,                0.90575,                0.87992,                0.95078,                0.89295,                0.38174,                0.45286,                0.83537,             0.00085834,             0.00085834,             0.00085834
                     52,                0.42171,                0.40187,                0.84685,                 0.8705,                0.86235,                0.94285,                0.88707,                0.37238,                0.46381,                0.83321,             0.00084184,             0.00084184,             0.00084184
                     53,                0.42843,                0.39563,                0.84407,                0.88148,                0.91528,                 0.9412,                 0.8818,                0.37452,                0.44568,                0.83091,             0.00082533,             0.00082533,             0.00082533
                     54,                0.42084,                0.39012,                0.83732,                0.88668,                0.90304,                0.94505,                0.88851,                 0.3641,                0.45364,                0.81688,             0.00080883,             0.00080883,             0.00080883
                     55,                0.42478,                0.38672,                0.84908,                0.88353,                0.91111,                0.94552,                0.88755,                0.36754,                0.47131,                0.82977,             0.00079233,             0.00079233,             0.00079233
                     56,                0.40317,                0.38156,                0.83682,                0.87879,                0.90002,                0.93543,                0.87825,                0.36871,                0.44051,                0.83111,             0.00077582,             0.00077582,             0.00077582
                     57,                 0.4015,                0.36119,                0.83886,                0.87544,                0.89337,                0.94952,                0.89434,                0.35888,                0.45173,                 0.8197,             0.00075932,             0.00075932,             0.00075932
                     58,                0.38717,                0.35801,                0.83455,                0.89616,                0.88489,                0.94598,                0.88885,                0.36655,                0.44994,                0.82584,             0.00074282,             0.00074282,             0.00074282
                     59,                0.40884,                0.37353,                 0.8405,                0.89777,                0.89267,                0.95315,                0.90048,                0.36476,                0.44558,                0.82202,             0.00072631,             0.00072631,             0.00072631
                     60,                0.40887,                 0.3874,                0.84453,                0.89149,                0.89761,                0.95185,                0.89524,                0.37424,                0.43237,                0.83312,             0.00070981,             0.00070981,             0.00070981
                     61,                0.40301,                0.36613,                0.84542,                0.91773,                 0.8854,                0.94684,                0.88807,                0.37092,                0.44767,                0.83287,             0.00069331,             0.00069331,             0.00069331
                     62,                0.41372,                0.38968,                 0.8532,                 0.8727,                0.91251,                0.94247,                0.88889,                0.35974,                0.44549,                0.81956,              0.0006768,              0.0006768,              0.0006768
                     63,                0.41656,                0.36788,                0.83745,                0.86571,                0.89549,                0.93091,                0.87518,                0.36466,                0.46737,                0.82139,              0.0006603,              0.0006603,              0.0006603
